Alka, Alca torda, ALCTOR  
Nádirigó, Acrocephalus arundinaceus, ACRARU  
Nádi sármány, Emberiza schoeniclus, EMBSCH  
Nádi tücsökmadár, Locustella luscinioides, LOCLUS  
Nagy bukó, Mergus merganser, MERMER  
Nagy fakopáncs, Dendrocopos major, DENMAJ  
Nagy fülemüle, Luscinia luscinia, LUSLUS  
Nagy goda, Limosa limosa, LIMLIM  
Nagy halfarkas, Stercorarius skua, STESKU  
Nagy kócsag, Egretta alba, EGRALB  
Nagy lilik, Anser albifrons, ANSALB  
Nagy őrgébics, Lanius exubitor, LANEXC  
Nagy pirók, Pinicola enucleator, PINENU  
Nagy póling, Numenius arquata, NUMARQ  
Nagy sárszalonka, Gallinago media, GALMED  
Naumann-rigó, Turdus naumanni, TURNAU  
Nílusi lúd, Alopochen aegyptiacus, ALOAEG  
Nyaktekercs, Jynx torquilla, JYNTOR  
Nyári lúd, Anser anser, ANSANS  
Nyílfarkú halfarkas, Stercorarius longicaudus, STELON  
Nyílfarkú réce, Anas acuta, ANAACU  
Nyírfajd, Tetrao tetrix, TETRIX  
Ökörszem, Troglodytes troglodytes, TROTRO  
Örvös bukó, Mergus serrator, MERSER  
Örvös galamb, Columba palumbus, COLPAL  
Örvös légykapó, Ficedula albicollis, FICALB  
Örvös lúd, Branta bernicla, BRABER  
Örvös rigó, Turdus torquatus, TURTOR  
Őszapó, Aegithalos caudatus, AEGCAU  
Pajzsoscankó, Philomachus pugnax, PHIPUG  
Parlagi galamb, Columba livia, COLICA  
Parlagi pityer, Anthus campestris, ANTCAM  
Parlagi sas, Aquila helica, AQUHEL  
Pártásdaru, Anthropoides virgo, ANTVIR  
Partifecske, Riparia riparia, RIPRIP  
Parti lile, Charadrius hiaticula, CHAHIA  
Pásztorgém, Bubulcus ibis, BUBIBI  
Pásztormadár, Sturnus roseus, STUROS  
Pehelyréce, Somateria mollissima, SOMMOL  
Pettyes vízicsibe, Porzana porzana, PORANA  
Piroslábú cankó, Tringa totanus, TRITOT  
Prérisirály, Larus pipixcan, LARPIP  
Pusztai hantmadár, Oenanthe isabellina, OENISA  
Pusztai ölyv, Buteo rufinus, BUTRUF  
Pusztai sas, Aquila nipalensis, AQUNIP  
Réti cankó, Tringa glareola, TRIGLA  
Réti fülesbagoly, Asio flammeus, ASIFLA  
Réti pityer, Anthus pratensis, ANTPRA  
Rétisas, Haliaeetus albicilla, HALALB  
Réti tücsökmadár, Locustella naevia, LOCNAE  
Reznek, Otis tetrax, TETRAX  
Rövidcsőrű lúd, Anser brachyrhynchus, ANSBRA  
Rövidkarmú fakusz, Certhia brachydactyla, CERBRA  
Rózsás flamingó, Phoenicopterus ruber, PHORUB  
Rózsás gödény, Pelecanus onocrotalus, PELONO  
Rózsás pirók, Carpodacus roseus, CARROS  
Rozsdás csuk, Saxicola rubetra, SAXRUB  
Rozsdás nádiposzáta, Acrocephalus agricola, ACRAGR  
Rozsdástorkú pityer, Anthus cervinus, ANTCER  
Sárga billegető, Motacilla flava, MOTFLA  
Sárgacsőrű kenderike, Carduelis flavirostris, CARRIS  
Sárgafejű királyka, Regulus regulus, REGREG  
Sárgalábú cankó, Tringa flavipes, TRIFLA  
Sárgalábú sirály, Larus cachinnans, LARCAC  
Sárgarigó, Oriolus oriolus, ORIORI  
Sárjáró, Limicola falcinellus, LIMFAL  
Sarkantyús pityer, Anthus richardi, ANTRIC  
Sarkantyús sármány, Calcarius lapponicus, CALLAP  
Sarki búvár, Gavia arctica, GAVARC  
Sarki csér, Sterna paradisaea, STEAEA  
Sarki lúd, Anser caerulescens, ANSCAE  
Sarki partfutó, Calidris canutus, CALCAN  
Sarki sirály, Larus glaucoides, LARGLA  
Sarlósfecske, Apus apus, APUAPU  
Sarlós partfutó, Calidris ferruginea, CALFER  
Sárszalonka, Gallinago gallinago, GALGAL  
Seregély, Sturnus vulgaris, STUVUL  
Siketfajd, Tetrao urogallus, TETURO  
Sisegő füzike, Phylloscopus sibilatrix, PHYSIB  
Sivatagi hantmadár, Oenanthe deserti, OENDES  
Sivatagi lile, Charadrius leschenaultii, CHALES  
Sordély, Miliaria calandra, MILCAL  
Sövénysármány, Emberiza cirlus, EMBCIR  
Steller-pehelyréce, Polysticta stelleri, POLSTE  
Süvöltő, Pyrrhula pyrrhula, PYRULA  
Szajkó, Garrulus glandarius, GARGLA  
